count-Invalid Username
2 aaa
1 aaron
1 abhishek
1 abonamet
1 acs
1 add
1 address
1 addsys
1 adm
6 admin
1 admins
1 adrian
1 adrien
1 agsadmin
1 ais
2 akiyama
4 alex
1 alina
1 all
1 alpha
1 altibase
1 amandabackup
1 amitj
1 ana
1 andre
1 andrea
1 andrei
1 andrew
1 anita
1 anna
1 anu
4 apache
1 apc
5 app
1 appldev
1 apple
1 appluat
1 appserv
1 arun
1 as
1 ashok
1 asingh
1 atsuser
1 atuser
1 audit
2 avconroot
1 ayman
1 bao
1 batch
1 bbuser
1 bd
1 benny
1 bill
1 bms
1 bnc
1 bob
1 boris
1 brent
1 bubala
1 business
1 buzogany
2 byte
1 cacti
1 cactiuser
1 carey
1 carla
1 cashier
1 catering
2 cdr
1 centos
1 ces
1 charlton
1 chiangmai
1 chris
1 cic
1 claudiu
2 cloud
1 cmd
1 cmsuser
1 cn
1 copy
1 credit
1 cron
1 cs
2 csaba
3 cvs
1 cwhuang
2 data
2 database
2 datasync
1 datauser
2 david
1 dbuser
1 debian
1 deepak
1 delacher
5 demo
2 deploy
2 deployer
1 dev
1 devdata
1 devel
1 developer
1 df
1 dilruk
2 dima
1 dir
1 dms
1 drupal
1 ds
1 eagle
1 eco
1 edit
1 edp
1 edward
1 ehsan
1 emon
1 epg
1 etienne
1 eva
1 Exit
1 falko
1 festival
1 foo
1 forum
1 fred
3 ftp
4 ftpuser
1 gao
1 garden
1 gast
1 gaurav
1 gdnslog
1 getmail
1 geust
1 geza
1 gfep
1 gis
4 git
1 global
1 google
1 grant
1 grid
8 guest
1 gyongyver
1 gyula
1 hacluster
4 hadoop
1 hans
1 help
1 himanshu
2 hmsftp
1 home
2 http
1 httpd
2 huawei
1 hxhtftp
1 id
1 ikeda
4 info
1 informix
1 infox
1 iom
1 Ionut
1 ira
1 is
1 jack
1 james
1 janak
1 jason
1 java
1 jboss
1 jerome
1 ji
1 jim
1 jinseok
1 jira
1 jjs
1 jmpark
1 johannes
1 john
1 jp
1 juridico
1 jurist
1 jusrist
1 k
1 kas
1 kelly
1 kernel
2 kevin
1 killer
1 kishore
1 kjs
1 kkj
1 klaus
1 komiya
1 ktkim
1 lab
1 lars
1 laura
1 lavago
1 ldap
1 light
1 lijing
1 linux
1 lisa
1 live
1 lm
1 lsfadmin
1 lutfi
1 mailman
2 mailtest
1 mantis
1 marc
1 mark
1 martin
2 mas
1 master
1 matlab
1 matthew
1 max
2 media
1 medtech
1 meng
1 metrol
1 mf
1 michael
1 michi
2 mike
1 milan
1 millicent
1 minerva
1 mingle
1 mjkim
1 mongodb
1 monika
1 moodle
1 mqm
1 mythtv
4 nagios
1 naveen
1 nec
1 nemoto
1 newsletter
1 nforge
1 nhkim
1 night
1 nikhil
1 nimbus
1 nms
1 not
1 notepad
1 oda
1 odysseyroot
2 office
1 oki
2 olga
1 openbravo
4 openerp
1 openper
1 oper
14 oracle
1 oradev
1 orchid
1 passwd
1 password
1 patil
1 paul
1 pawan
2 pepper
2 pgsql
1 ph
1 pink
1 plesk
2 portal
1 postfix
10 postgres
1 postmaster
1 praveen
1 prueba
1 pss
1 psybnc
1 pt
1 public
3 qwerty
1 rahulb
1 rainsoft
2 ram
1 ravi
1 rdit
1 rearcar
1 reception
1 roger
1 roman
1 rozsi
2 sales
1 sam
1 samba
1 sandeep
2 sasaki
1 scan
1 scott
1 scp
1 serge
1 sghosh
1 share
1 shopmscn
1 simon
2 site
1 sjan
1 slview
1 smartm
1 smg
1 smh
1 snv
1 snvconroot
1 sofia
1 sorbitol
1 spmadmin
1 staff
1 stores
4 student
3 svn
1 svnadmin
1 svnroot
2 svnuser
1 sw
1 syncro
1 sysadmin
1 system
1 takano
1 tanimoto
1 tara
1 teacher
1 ted
2 telnet
2 temp
10 test
1 testftp
1 testkhang
4 testuser
1 thietkeweb
1 thlin
2 thomas
1 tiberio
1 tibero
1 timi
1 tom
2 tomas
5 tomcat
1 tor
1 toshiba
1 tracking
1 transfar
1 ubuntu
2 unix
2 uoa
1 upgrade
2 upload
1 uploader
5 user
3 username
1 usr
1 utsims
1 vijay
3 vlad
1 vmail
2 vmware
1 watanabe
3 web
1 webapp
3 weblogic
8 webmaster
1 webpop
1 webuser
1 wendy
4 www
1 wwwrun
1 xbmc
2 xbox
2 xymon
1 yahoo
1 yang
1 ycheng
1 yeh
1 yen
1 yiling
2 zabbix
1 zenith
